Model,Accuracy,Precision,Recall,F1,ROC_AUC
LogisticRegression,0.5532177984941224,0.025647737751732753,0.6392348754448398,0.04931676094927043,0.6454575166335873
GradientBoostingClassifier,0.9818740944439516,0.504424778761062,0.008451957295373666,0.016625346361382527,0.6260573948091019
RandomForestClassifier,0.648847205309549,0.024860013806857408,0.4805753262158956,0.047274530682497776,0.6093808296188346
