Feature,Coefficient,AbsCoefficient
cat__device_browser_group_UC Browser,-0.06367911641363047,0.06367911641363047
num__is_work_hours,0.06351684241028209,0.06351684241028209
cat__geo_city_group_Samara,0.06065049112250411,0.06065049112250411
cat__geo_city_group_Ufa,0.05872780587223815,0.05872780587223815
cat__utm_campaign_group_LTuZkdKfxRGVceoWkVyg,0.05220397011328021,0.05220397011328021
cat__geo_city_group_other,-0.045825643027901646,0.045825643027901646
cat__device_os_BlackBerry,-0.03858625120436032,0.03858625120436032
num__is_night,0.03574785697004602,0.03574785697004602
cat__geo_city_group_Saint Petersburg,-0.03481257564846076,0.03481257564846076
cat__utm_campaign_group_other,0.034042878304494546,0.034042878304494546
cat__device_browser_group_Android Webview,-0.022291035959082068,0.022291035959082068
cat__utm_source_group_aXQzDWsJuGXeBXexNHjc,-0.021466773877950047,0.021466773877950047
num__is_weekend,-0.02059996970988801,0.02059996970988801
cat__device_os_Tizen,-0.01671151585042069,0.01671151585042069
cat__geo_city_group_Rostov-on-Don,0.011881012763143371,0.011881012763143371
cat__utm_source_group_bByPQxmDaMXgpHeypKSM,0.011571916549774642,0.011571916549774642
cat__geo_city_group_Tula,-0.004702521760704512,0.004702521760704512
cat__device_os_Firefox OS,-0.002423631020247862,0.002423631020247862
cat__device_os_Windows Phone,-0.0020012333750061228,0.0020012333750061228
cat__utm_campaign_group_RoDitORHdzGfGhNCyEMy,-0.0012196300248605808,0.0012196300248605808
cat__device_os_Samsung,-0.0006701437616564998,0.0006701437616564998
